keyword,time,title,URL,location
마이카,2025.12.27 22:10,그랜드 c부스 질문좀,https://gall.dcinside.com/board/view/?id=idolmaster_new1&no=8818338,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251227-2210-1.txt
마이카,2025.12.27 22:24,내년에 고쿠 미란이 닮은 쿠수니에게 고백 예정인데,https://gall.dcinside.com/board/view/?id=arbeit&no=7107300,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251227-2224-1.txt
마이카,2025.12.27 23:04,마이카,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=168810,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251227-2304-1.txt
마이카,2025.12.28 00:39,사사키마이카한테 좀 감긴거같네,https://gall.dcinside.com/mgallery/board/view/?id=japtrainee&no=2765686,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-0039-1.txt
마이카,2025.12.28 01:26,마이카유카룽카요용 섞은느낌이네,https://gall.dcinside.com/mgallery/board/view/?id=japtrainee&no=2765702,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-0126-1.txt
마이카,2025.12.28 01:50,쿄카 성격에 이정도까지한거면,https://gall.dcinside.com/board/view/?id=swf3&no=711672,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-0150-1.txt
마이카,2025.12.28 01:51,미리냐는 진짜 대단하다,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=168895,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-0151-1.txt
마이카,2025.12.28 02:14,마이카일진이에요?,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=168902,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-0214-1.txt
마이카,2025.12.28 03:45,이제생각하니 밐갤에 맨날마이카랑 뤄톈이 얘기밖에안한거같네,https://gall.dcinside.com/mgallery/board/view/?id=mikuhatsune&no=567186,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-0345-1.txt
마이카,2025.12.28 12:34,여신임,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169052,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1234-1.txt
마이카,2025.12.28 14:43,엠슈라봤는데마이카한테 학살당했노,https://gall.dcinside.com/board/view/?id=akb48&no=6088775,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1443-1.txt
마이카,2025.12.28 15:53,"각성~용혼,V시즌 드절,FR 라이드라인 판매합니다",https://gall.dcinside.com/mgallery/board/view/?id=vg&no=537153,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1553-1.txt
마이카,2025.12.28 17:11,갤복했는데 드디어 종호 굴복했네,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169156,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1711-1.txt
마이카,2025.12.28 17:34,마이카같은데?,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169165,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1734-1.txt
마이카,2025.12.28 17:52,설마마이카겠어,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169171,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1752-1.txt
마이카,2025.12.28 18:07,마이카라는거 같은데?,https://gall.dcinside.com/board/view/?id=japan_entertainment&no=5817093,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1807-1.txt
마이카,2025.12.28 18:07,나가노 메이 터뜨린곳인데 설마 다른애겠냐,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169194,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1807-2.txt
마이카,2025.12.28 18:13,데스돌도 아니고 문춘이 가오가 있죠,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169202,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1813-1.txt
마이카,2025.12.28 18:14,타카하시 후미야&사사키마이카,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169204,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1814-1.txt
마이카,2025.12.28 18:14,마이카님 안돼,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169205,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1814-2.txt
마이카,2025.12.28 18:15,"마이카,난카,레논만 아니면 돼",https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169208,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1815-1.txt
마이카,2025.12.28 18:16,지금 시점에서마이카면 얘기가 달라지는데ㄹㅇ,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169210,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1816-1.txt
마이카,2025.12.28 18:17,마이카없어도 이코러브 괜찮잖아?,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169211,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1817-1.txt
마이카,2025.12.28 18:17,"마이카면 기세 꺾여서 안되는데,,",https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169213,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1817-2.txt
마이카,2025.12.28 18:19,마이카우시들 잘가...,https://gall.dcinside.com/board/view/?id=akb48&no=6088827,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1819-1.txt
마이카,2025.12.28 18:23,마이카가 가면라이더랑 부타이 한적 있데,https://gall.dcinside.com/board/view/?id=akb48&no=6088830,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1823-1.txt
마이카,2025.12.28 18:25,트위터에서는 거의마이카로 확정 분위기,https://gall.dcinside.com/board/view/?id=akb48&no=6088833,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1825-1.txt
마이카,2025.12.28 18:28,ㅋㅋ 진짜마이카인갑네,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169227,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1828-1.txt
마이카,2025.12.28 18:33,그래도마이카는 남자 얼굴 보는구나,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169236,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1833-1.txt
마이카,2025.12.28 18:37,지금마이카오타들 정신 나갔어,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169240,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1837-1.txt
마이카,2025.12.28 18:38,마이카이대로 가면..,https://gall.dcinside.com/mgallery/board/view/?id=japanidolgirls&no=169241,C:/Users/WINDOWS 11/Desktop/kpop_agenda/Step2/DCInside/Articles\마이카-20251228-1838-1.txt
